,ds,yhat_lower,yhat_upper,yhat
0,3/31/16,86580901.43,87642570.78,87100774.77
1,4/1/16,86617158.3,87630405.26,87133777.8
2,4/2/16,86615699.98,87671952.28,87157278.91
3,4/3/16,86658152.33,87705224.36,87180194
4,4/4/16,86713416.45,87726898.39,87203057.05
5,4/5/16,86741271.84,87763021.23,87225551.96
6,4/6/16,86725579.23,87800296.38,87247712.77
7,4/7/16,86735358.51,87834898.59,87270557.23
8,4/8/16,86769835.43,87810716.78,87301764.9
9,4/9/16,86779209.63,87830147.13,87323558.28
10,4/10/16,86851736.67,87911192.34,87344800.01
11,4/11/16,86828019.75,87924491.35,87365968.42
12,4/12/16,86815490.36,87936595.15,87386691.28
13,4/13/16,86891534.96,87949445.46,87406947.93
14,4/14/16,86941575.68,87997053.18,87427704.67
15,4/15/16,86895607.63,87981353.52,87456594.55
16,4/16/16,86894117.8,88050285.59,87475800.03
17,4/17/16,86970718.07,88013647.76,87494151.42
18,4/18/16,86975403.58,88015177.74,87512103.5
19,4/19/16,87022269.95,88056847.89,87529269.96
20,4/20/16,86978843.23,88051389.22,87545625.97
21,4/21/16,86994442.17,88075457.03,87562143.57
22,4/22/16,87070266.37,88082769.25,87586471.34
23,4/23/16,87075192.23,88163345.99,87600816.46
24,4/24/16,87099829.48,88210338.2,87614042.33
25,4/25/16,87098519.81,88128821.37,87626644.11
26,4/26/16,87112422.12,88190691.19,87638281.86
27,4/27/16,87122543.8,88158292.59,87648981.67
28,4/28/16,87134375.37,88153436.66,87659769.47
29,4/29/16,87195076.31,88252279.44,87678349.02
30,4/30/16,87158451.42,88220044.78,87686982.31
31,5/1/16,87157908.92,88182668.98,87694585.63
32,5/2/16,87160840.58,88231816.92,87701703.5
33,5/3/16,87184105.11,88229906.11,87708040.53
34,5/4/16,87186814.13,88261658.58,87713661.26
35,5/5/16,87170978.55,88235186.52,87719623.09
36,5/6/16,87117839.24,88301063.32,87733653.54
37,5/7/16,87214913,88272304.59,87738030.18
38,5/8/16,87162940.56,88261334.4,87741676.54
