ds,yhat_lower_log,yhat_upper_log,yhat_log,yhat_main,yhat_lower_main,yhat_upper_main
01/01/2003,1.94365851,2.849658496,2.404074465,11.06818155,6.984256259,17.28187901
02/01/2003,1.917629818,2.809896726,2.403427786,11.06102631,6.804810697,16.60820293
03/01/2003,1.953898195,2.850140947,2.402955459,11.05580312,7.056140248,17.29021867
04/01/2003,1.986374825,2.830388795,2.402474618,11.05048831,7.289061682,16.95205042
05/01/2003,1.950041963,2.838817172,2.401988555,11.04511839,7.028982531,17.0955325
06/01/2003,1.948938324,2.868832167,2.401500395,11.03972791,7.02122935,17.61643314
07/01/2003,1.956793315,2.853518015,2.401013361,11.0343525,7.076598224,17.34870762
08/01/2003,1.967126994,2.833163873,2.400495622,11.02864106,7.150104655,16.99915902
09/01/2003,1.937884688,2.860036577,2.399828285,11.0212837,6.944046596,17.46216564
10/01/2003,1.936478116,2.855935363,2.399356736,11.01608784,6.93428616,17.39069622
11/01/2003,1.954734532,2.858374667,2.398897046,11.01102503,7.062044028,17.43316919
12/01/2003,1.97226959,2.871683589,2.398451094,11.00611574,7.186969465,17.6667367
13/01/2003,1.947278196,2.819122027,2.398020277,11.00137513,7.009582879,16.76212752
14/01/2003,1.972313324,2.861634974,2.397605824,10.99681652,7.187283786,17.49009943
15/01/2003,1.941517617,2.824638682,2.397173693,10.99206548,6.96931971,16.85485392
16/01/2003,1.986295384,2.852934126,2.396602622,10.98579003,7.28848266,17.33858086
17/01/2003,1.96525652,2.836016304,2.396235534,10.98175802,7.136743071,17.04771717
18/01/2003,1.958042354,2.876143184,2.395886005,10.97792025,7.085442689,17.74569913
19/01/2003,1.916629827,2.844455946,2.395553449,10.97427008,6.798009354,17.19220264
20/01/2003,1.942543372,2.832613962,2.395236893,10.97079665,6.97647219,16.98981355
21/01/2003,1.954007999,2.864729794,2.394935348,10.96748897,7.056915084,17.54431199
22/01/2003,1.940055246,2.823173428,2.394612763,10.96395159,6.959135425,16.83017537
23/01/2003,1.938370453,2.828056955,2.39414612,10.95883653,6.94742059,16.912567
24/01/2003,1.931324878,2.826501342,2.393876877,10.95588634,6.89864405,16.88627805
25/01/2003,1.978357083,2.819729104,2.393617471,10.95304469,7.230853529,16.77230651
26/01/2003,1.933786411,2.857508226,2.393366519,10.95029634,6.915646206,17.41807093
27/01/2003,1.940946097,2.85301372,2.393122605,10.94762574,6.96533774,17.33996097
28/01/2003,1.982057512,2.861773163,2.392884657,10.94502108,7.257660358,17.49251653
29/01/2003,1.938924094,2.820498419,2.392616877,10.94209061,6.951268034,16.78521466
30/01/2003,1.942606327,2.838732548,2.392196829,10.93749538,6.97691141,17.09408587
31/01/2003,1.93727177,2.851700178,2.391966848,10.93498025,6.939791772,17.31719915
01/02/2003,1.925527448,2.815773074,2.391740505,10.93250547,6.858765357,16.70608583
02/02/2003,1.907458142,2.786726487,2.391517764,10.93007062,6.735945201,16.22781081
03/02/2003,1.965522713,2.861243459,2.391298723,10.92767676,7.138643076,17.48325314
04/02/2003,1.913768621,2.829901861,2.391083931,10.92532984,6.778586647,16.94379789
05/02/2003,1.957904241,2.83851754,2.390839271,10.92265717,7.084464167,17.0904109
06/02/2003,1.96501659,2.81200751,2.390443984,10.91834043,7.135030958,16.6432963
07/02/2003,1.931099841,2.837841574,2.390242026,10.91613561,6.897091777,17.07886226
08/02/2003,1.936129967,2.870634935,2.390048482,10.91402306,6.93187242,17.64822011
09/02/2003,1.944338175,2.81990977,2.389864676,10.91201718,6.989004823,16.77533697
10/02/2003,1.934358013,2.834796181,2.389691867,10.91013165,6.919600334,17.02692954
11/02/2003,1.929447772,2.844111599,2.389531533,10.90838252,6.885706713,17.18628357
12/02/2003,1.970625516,2.858709147,2.389350226,10.90640494,7.175163265,17.43900121
13/02/2003,1.939452901,2.826038325,2.389027579,10.90288659,6.954944886,16.87846122
14/02/2003,1.956482274,2.820687428,2.388907656,10.90157916,7.074397448,16.78838751
15/02/2003,1.959701369,2.860647478,2.388805359,10.90046402,7.097207306,17.47283656
16/02/2003,1.931784461,2.828993318,2.388721552,10.89955053,6.901815278,16.92841072
17/02/2003,1.908796696,2.824989601,2.388656775,10.89884451,6.744967667,16.86076965
18/02/2003,1.920218626,2.811389939,2.38861155,10.89835162,6.822449874,16.63302104
19/02/2003,1.901854335,2.824685396,2.388551272,10.8976947,6.698303834,16.85564131
20/02/2003,1.928884709,2.814888723,2.388354249,10.89554782,6.881830715,16.69131832
21/02/2003,1.929505323,2.824353534,2.3883631,10.89564425,6.886103005,16.85004848
22/02/2003,1.930708618,2.846646005,2.388391202,10.89595046,6.894394,17.22989584
23/02/2003,1.941094976,2.854797804,2.388437867,10.89645893,6.966374812,17.37092452
24/02/2003,1.92853403,2.839199473,2.388502095,10.89715881,6.879417828,17.10206939
25/02/2003,1.927119594,2.827711282,2.38858293,10.89803971,6.869694208,16.90672179
26/02/2003,1.952888425,2.83523424,2.388644391,10.89870953,7.049018764,17.03438998
27/02/2003,1.939068669,2.83951819,2.388563549,10.8978285,6.952273087,17.10752097
28/02/2003,1.969673483,2.814401079,2.388681956,10.89911895,7.168335524,16.68318088
01/03/2003,1.938928212,2.838608994,2.388812118,10.90053769,6.951296658,17.09197395
02/03/2003,1.932606211,2.796556411,2.388952686,10.90207007,6.907489177,16.38811556
03/03/2003,1.940370913,2.83673695,2.389102223,10.90370046,6.961332542,17.06000695
04/03/2003,1.963238067,2.843501377,2.389259558,10.90541612,7.122352423,17.17579933
05/03/2003,1.934059583,2.835670919,2.389388709,10.90682467,6.91753563,17.04183015
06/03/2003,1.927121129,2.814284377,2.389366953,10.90658737,6.869704756,16.68123403
07/03/2003,1.949909824,2.855737733,2.389536221,10.90843366,7.028053792,17.38725963
08/03/2003,1.965015325,2.875117456,2.389709556,10.91032464,7.135021931,17.7275062
09/03/2003,1.945645811,2.850951671,2.389886264,10.91225276,6.998149881,17.30424195
10/03/2003,1.900567551,2.840525072,2.390065648,10.91421042,6.689690108,17.12475491
11/03/2003,1.89870738,2.82837512,2.390247321,10.91619342,6.677257702,16.91794885
12/03/2003,1.955870958,2.816010459,2.390396094,10.91781756,7.070074083,16.71005207
13/03/2003,1.942753562,2.855765227,2.390389998,10.91775101,6.977938728,17.38773769
14/03/2003,1.979807039,2.830748713,2.390571656,10.91973449,7.241345553,16.95815287
15/03/2003,1.98643635,2.847569636,2.3907547,10.92173346,7.289510156,17.24581725
16/03/2003,1.987625298,2.814881724,2.390938893,10.92374535,7.298182161,16.6912015
17/03/2003,1.936419111,2.826583854,2.391123846,10.92576592,6.933877015,16.88767142
18/03/2003,1.908259464,2.821749523,2.391309318,10.92779254,6.741345028,16.80622784
19/03/2003,1.921202653,2.862117834,2.391460093,10.9294403,6.829166648,17.49854673
20/03/2003,1.946408009,2.847012386,2.391454012,10.92937384,7.003485884,17.23620969
21/03/2003,1.944072744,2.818512014,2.391633346,10.93133402,6.987149974,16.75190551
22/03/2003,1.933006602,2.854010915,2.391811241,10.93327882,6.910255428,17.3572609
