,ds,yhat,yhat_lower,yhat_upper
0,1993-01-01,60239349.084029116,58914077.41519326,61395130.84381459
1,1993-01-02,60250067.15469467,58962933.669072725,61619322.59713964
2,1993-01-03,60260431.059012644,58896588.53166171,61511518.72471123
3,1993-01-04,60270492.499037445,58968809.0356662,61503321.56281966
4,1993-01-05,60280298.46141805,58996374.85691194,61561416.95776083
5,1993-01-06,60289910.04724098,59099993.013612434,61568419.27613049
6,1993-01-07,60299397.213817954,59027488.34617003,61600437.95348488
7,1993-01-08,60312852.75644043,59003218.55135072,61519165.815164715
8,1993-01-09,60322384.94873524,59109339.8231703,61546752.99246161
9,1993-01-10,60332041.789920226,59133528.04511403,61652332.972367406
10,1993-01-11,60341936.74116033,59097555.89226639,61601608.00254312
11,1993-01-12,60352168.87857084,59139108.510982625,61588585.89163075
12,1993-01-13,60362840.10447389,59136961.8316961,61719525.53504914
13,1993-01-14,60374048.50995828,59150881.13628268,61694146.06371895
14,1993-01-15,60389901.25666726,59153614.89386331,61588365.29292666
15,1993-01-16,60402506.42971175,59138884.12284581,61588912.00395448
16,1993-01-17,60415896.83567296,59122936.08152584,61689849.28761137
17,1993-01-18,60430155.64519561,59189392.68612159,61634082.94776723
18,1993-01-19,60445336.81610536,59190930.758160755,61778311.713911
19,1993-01-20,60461482.93781297,59239858.79497574,61742621.744031385
20,1993-01-21,60478619.57990727,59242071.69868489,61708795.509031564
21,1993-01-22,60500769.4935823,59150319.12390856,61774737.83180812
22,1993-01-23,60519946.08980241,59321767.629972585,61757326.176427804
23,1993-01-24,60540079.13211229,59310309.726194054,61785741.303098045
24,1993-01-25,60561142.5003412,59340261.77961718,61866270.29623279
25,1993-01-26,60583076.91175441,59295414.54244982,61872865.009546444
26,1993-01-27,60605810.186136335,59322753.629858755,61893966.702680774
27,1993-01-28,60629254.07990443,59406359.9832934,61878405.29767678
28,1993-01-29,60657320.978038006,59311361.63727802,61889157.346136376
29,1993-01-30,60681919.807339795,59468139.42408632,62068664.615833186
30,1993-01-31,60706884.0495764,59510647.59959168,61934860.88052891
31,1993-02-01,60732101.65394341,59416967.70403697,61996548.97926434
32,1993-02-02,60757439.68263015,59442857.804329254,61982514.54557452
33,1993-02-03,60782766.22858474,59504260.59564741,62069948.49936362
34,1993-02-04,60807948.58981864,59551026.931678355,62083217.92266159
35,1993-02-05,60836870.95595976,59472123.06768936,62095489.33323662
36,1993-02-06,60861430.946039565,59621820.93218188,62065720.59898185
37,1993-02-07,60885467.860711776,59695095.035999194,62135201.86991174
38,1993-02-08,60908892.44257859,59657021.97669137,62139910.62125792
39,1993-02-09,60931610.98235884,59656132.388374746,62198152.082584366
40,1993-02-10,60953546.323580325,59632735.96780752,62171966.2976278
41,1993-02-11,60974634.77298153,59783487.76043249,62293985.708426625
42,1993-02-12,60998842.203843914,59829617.67454255,62170136.96491724
43,1993-02-13,61018158.73059324,59755391.85334569,62312375.33919184
44,1993-02-14,61036524.8640347,59730447.63865942,62293136.077120185
45,1993-02-15,61053958.992675215,59858800.381363355,62277235.16605154
46,1993-02-16,61070479.08390962,59798145.062077686,62320107.926963896
47,1993-02-17,61086121.21660709,59745283.66870778,62374690.19093534
48,1993-02-18,61100934.01242787,59807939.880554326,62419664.73105188
49,1993-02-19,61118992.31297912,59922946.59063904,62352705.95091591
50,1993-02-20,61132389.53924575,59938332.13630012,62351180.578917146
51,1993-02-21,61145161.69748759,59867695.049126126,62367266.17951317
52,1993-02-22,61157412.927229114,59973874.194981046,62395620.291772135
53,1993-02-23,61169235.52938149,59966992.50832729,62542354.71434145
54,1993-02-24,61180727.12329703,59925782.73903745,62440131.06971367
55,1993-02-25,61191984.029450044,59905579.400384374,62549934.28763427
56,1993-02-26,61207114.24563233,59922290.37084548,62486772.56788129
57,1993-02-27,61218229.46484088,59916884.599335834,62572559.99009819
58,1993-02-28,61229369.101540364,59990359.62452895,62499012.081372365
59,1993-03-01,61240626.21520263,59964975.22734491,62355976.45033294
60,1993-03-02,61252068.25350089,59995562.983834766,62550807.442588694
61,1993-03-03,61263755.239869066,59973056.130548716,62539033.71076924
62,1993-03-04,61275734.470334135,60016650.544930205,62551978.786199205
63,1993-03-05,61292055.04895209,60043290.06336014,62509716.06708525
64,1993-03-06,61304761.66579383,60066223.685388334,62430280.74962355
65,1993-03-07,61317820.535493046,59987031.77206627,62592634.656371035
66,1993-03-08,61331247.33349018,60044507.16268698,62518474.33380007
67,1993-03-09,61345029.998890385,60121111.58511866,62642375.29560672
68,1993-03-10,61359148.97493168,60139266.06104028,62577730.47072367
69,1993-03-11,61373573.89942588,60194694.81436727,62574020.8245375
70,1993-03-12,61392280.02450472,60099218.10358034,62613526.99339599
71,1993-03-13,61407243.72345288,60115349.03746439,62686255.19042126
72,1993-03-14,61422369.96148142,60134662.85402647,62643026.815174565
73,1993-03-15,61437621.53243896,60214566.66673855,62713161.10898975
74,1993-03-16,61452942.902106166,60183110.86749441,62787583.601905875
75,1993-03-17,61468281.208304666,60250909.48930217,62845393.98658406
76,1993-03-18,61483583.41735595,60193244.39538808,62654684.21566226
77,1993-03-19,61502812.91154002,60238378.34400804,62791603.43934906
78,1993-03-20,61517944.86878124,60296895.507203534,62690690.07630949
79,1993-03-21,61532893.322747804,60245387.06261748,62825271.276222765
80,1993-03-22,61547639.724130265,60315916.592744,62740152.157153495
81,1993-03-23,61562155.86929834,60292781.09139105,62788619.54715173
82,1993-03-24,61576423.7780791,60271215.02348989,62756483.71012407
83,1993-03-25,61590431.55668483,60299806.9291317,62836424.92991513
84,1993-03-26,61608188.560812294,60283054.96044169,62888503.19258159
85,1993-03-27,61621719.263202995,60335570.94965924,62888192.84785014
86,1993-03-28,61634988.75835572,60395694.08860524,62937249.10677748
87,1993-03-29,61648029.769839644,60431372.095449716,62815444.73483782
88,1993-03-30,61660864.07001703,60384165.211375676,62880038.73551463
89,1993-03-31,61673520.93525706,60417386.74943769,62877853.37096414
90,1993-04-01,61686031.71061927,60456668.49603801,62901518.96727379
91,1993-04-02,61702443.83259013,60518551.30801213,62961157.63623851
92,1993-04-03,61714813.74247314,60445402.5518646,62940796.68528702
93,1993-04-04,61727131.64548687,60403235.35641291,62982536.27092915
94,1993-04-05,61739447.9969157,60471907.71145331,62994463.26938497
95,1993-04-06,61751794.6342281,60459999.37779705,62998264.888962194
96,1993-04-07,61764203.18043178,60544227.86035126,63031382.23894089
97,1993-04-08,61776699.78798738,60525072.67063155,63065074.78114292
98,1993-04-09,61793319.56063141,60601187.00485515,63086194.557433724
99,1993-04-10,61806100.06835059,60526086.42288171,63036494.255977675
100,1993-04-11,61819006.88769923,60537477.85243757,63058482.55376606
101,1993-04-12,61832061.02120562,60615893.18174351,63065490.27929975
102,1993-04-13,61845261.08333874,60525713.92225667,63140219.06762747
103,1993-04-14,61858602.84400483,60630351.00200232,63165353.78576659
104,1993-04-15,61872075.16279481,60667228.31320031,63135687.96862946
105,1993-04-16,61889675.614519194,60673625.51139747,63096246.76870348
106,1993-04-17,61903405.18483873,60752968.86265372,63128371.075434886
107,1993-04-18,61917194.933190815,60677805.839822605,63187750.74047097
108,1993-04-19,61931034.444210894,60691102.13255644,63107579.45558396
109,1993-04-20,61944894.92593471,60628380.97337587,63130410.17450756
110,1993-04-21,61958749.52072734,60680137.09529566,63164880.28179794
111,1993-04-22,61972569.84196524,60735746.23678621,63263167.60417981
112,1993-04-23,61990342.02215564,60661285.41690944,63183125.5946531
113,1993-04-24,62004061.64213889,60755961.99313449,63252924.70795626
114,1993-04-25,62017660.43527545,60665544.23329218,63185158.308847845
115,1993-04-26,62031134.59038046,60792992.97282886,63215929.34933806
116,1993-04-27,62044467.51994072,60734754.997748695,63302492.928241745
117,1993-04-28,62057649.67315303,60769955.005755946,63279764.42218556
118,1993-04-29,62070674.42525003,60854309.91558988,63323210.43464161
119,1993-04-30,62087553.351452135,60849575.17780219,63421688.719328485
120,1993-05-01,62100310.28131041,60760389.77964051,63267280.44808421
121,1993-05-02,62112907.05608327,60817299.910768956,63406650.14597729
122,1993-05-03,62125370.843365945,60878972.3167992,63432894.85578991
123,1993-05-04,62137715.9067306,60997628.30641858,63373439.747166194
124,1993-05-05,62149962.44095036,60895650.42606367,63464940.39202196
125,1993-05-06,62162131.534181565,60900234.22669101,63417561.85215563
126,1993-05-07,62178259.59333407,60934149.321378306,63350345.669922486
127,1993-05-08,62190391.65345141,60940517.04720312,63536536.06291868
128,1993-05-09,62202506.515245736,60931566.47850602,63493838.832485035
129,1993-05-10,62214643.582348265,60967501.08021195,63545653.054789335
130,1993-05-11,62226824.30874567,61025440.86876305,63563203.91432199
131,1993-05-12,62239070.874733284,60891535.371504135,63521191.49536076
132,1993-05-13,62251401.155393116,61061178.32895737,63397515.80833338
133,1993-05-14,62267843.31532283,61084162.58604095,63629707.43533531
134,1993-05-15,62280429.44294072,61066063.29819348,63552049.147135004
135,1993-05-16,62293121.156314395,61064564.42027489,63596590.35078755
136,1993-05-17,62305937.035609685,61066529.32168679,63683681.72901691
137,1993-05-18,62318874.77245613,61065012.69266139,63460026.96146961
138,1993-05-19,62331930.63134032,61121818.71528016,63607761.65411095
139,1993-05-20,62345095.26151853,61119906.3928234,63693712.74444133
140,1993-05-21,62362369.166173145,61156008.988502406,63485114.33819835
141,1993-05-22,62375757.21449687,61062814.52300454,63603891.7383021
142,1993-05-23,62389195.10123035,61132003.23689846,63609618.66671891
143,1993-05-24,62402677.58238761,61181475.2103945,63564196.702236004
144,1993-05-25,62416181.35296295,61132873.35591831,63584632.43916325
145,1993-05-26,62429685.13982285,61207020.2422713,63690895.51922925
146,1993-05-27,62443166.02960813,61153771.78949657,63629761.3647136
147,1993-05-28,62460615.32348852,61131977.25399624,63734469.619218245
148,1993-05-29,62474033.29377516,61212775.085120425,63758664.35841651
149,1993-05-30,62487355.740729064,61228508.86228048,63657508.59131726
150,1993-05-31,62500582.17674928,61339507.17902332,63795017.523759566
151,1993-06-01,62513698.506824575,61148140.68123675,63733241.98196801
152,1993-06-02,62526696.78604088,61274366.67431851,63852129.36693491
153,1993-06-03,62539571.085782304,61262396.61698638,63831481.28703011
154,1993-06-04,62556332.77609814,61216508.25992907,63798574.700633734
155,1993-06-05,62569004.61817121,61391758.13020559,63838659.63998778
156,1993-06-06,62581546.58683994,61409245.92972393,63789247.71765538
157,1993-06-07,62593983.27396369,61282546.54083466,63856603.6172462
158,1993-06-08,62606325.766363196,61459580.73230589,63907082.07266674
159,1993-06-09,62618590.60443935,61406528.42624621,63814915.83299125
160,1993-06-10,62630794.87809259,61416097.96443971,63848864.405189455
161,1993-06-11,62646970.7913017,61476446.34091443,63895047.215877146
162,1993-06-12,62659159.11135343,61399062.210755445,63959004.483873546
163,1993-06-13,62671334.44223118,61390421.09804697,63892448.53663688
164,1993-06-14,62683532.18942029,61431904.51125855,63973970.49879529
165,1993-06-15,62695770.12275437,61406655.736804485,63999941.93254275
166,1993-06-16,62708067.15234896,61572511.09784026,63967141.93252577
167,1993-06-17,62720438.37899034,61455654.340135135,64040209.70409328
168,1993-06-18,62736909.75076759,61528061.4647154,64024037.50342982
169,1993-06-19,62749511.73807144,61532764.53228796,63983212.69623351
170,1993-06-20,62762204.958451435,61517172.77579633,64027153.47580738
171,1993-06-21,62775007.60670184,61552194.10245879,64064473.25707448
172,1993-06-22,62787917.58143872,61511187.24733718,63944703.42147958
173,1993-06-23,62800931.904877976,61516243.57315213,64046453.59396507
174,1993-06-24,62814042.47646132,61537810.7754169,64068734.87945266
175,1993-06-25,62831251.46967284,61590121.171971194,64014727.27551866
176,1993-06-26,62844565.76070958,61580461.01450093,64071097.445172414
177,1993-06-27,62857923.296759434,61517604.419101104,64112498.66202349
178,1993-06-28,62871321.23598193,61657189.872779936,64105795.60605494
179,1993-06-29,62884738.72836481,61673322.02049801,64094191.31879963
180,1993-06-30,62898156.91394571,61623536.36200781,64214495.36061456
181,1993-07-01,62911555.161311336,61612435.949143626,64106968.73004727
182,1993-07-02,62928926.84101146,61693351.938654855,64203624.66899539
183,1993-07-03,62942274.011314616,61650091.328776404,64212502.99044418
184,1993-07-04,62955533.91662548,61763234.35274751,64183340.36036751
185,1993-07-05,62968707.12724111,61736737.7401089,64154902.42754048
186,1993-07-06,62981780.1903032,61769480.742853284,64211339.93324812
187,1993-07-07,62994745.37317996,61716730.06884539,64174274.79872685
188,1993-07-08,63007596.53082859,61663213.306497216,64212504.901836134
189,1993-07-09,63024344.40401931,61677518.16850013,64309685.668844245
190,1993-07-10,63037010.741298445,61749046.79610973,64278347.742344126
191,1993-07-11,63049554.163170815,61825998.53595606,64251732.84415666
192,1993-07-12,63061997.61746941,61831902.41079963,64438301.83607592
193,1993-07-13,63074350.31754709,61730500.27302438,64248660.939545386
194,1993-07-14,63086626.7671011,61820235.821978115,64281416.33718357
195,1993-07-15,63098841.92584881,61925073.40425873,64404615.2195143
196,1993-07-16,63115025.84498309,61860643.60093279,64439819.89248875
197,1993-07-17,63127217.18602441,61875694.7556896,64418968.851013176
198,1993-07-18,63139388.56033712,61858020.706947125,64408948.16866431
199,1993-07-19,63151573.55453041,61888943.21937312,64369219.70577724
200,1993-07-20,63163788.346595824,61875976.90892658,64511437.28671651
201,1993-07-21,63176050.52636965,61908340.58954999,64446154.31692991
202,1993-07-22,63188374.18058034,61903576.32027735,64432442.57659598
203,1993-07-23,63204784.57353634,62025005.4258611,64354239.81401671
204,1993-07-24,63217311.83522946,61893681.54565017,64397594.99596528
205,1993-07-25,63229916.58837699,62059634.263881594,64479795.52168331
206,1993-07-26,63242617.370168395,61987717.97551814,64446319.21395261
207,1993-07-27,63255412.74070841,62044170.64893747,64504460.21940793
208,1993-07-28,63268300.6758917,62020130.42408983,64496996.963561766
209,1993-07-29,63281274.286626674,62005795.41312523,64533174.311567456
210,1993-07-30,63298337.17521438,61953455.81195813,64557196.22972002
211,1993-07-31,63311497.81913996,62085379.734686784,64527893.370917454
212,1993-08-01,63324695.89169379,62056460.03361653,64627870.779667914
213,1993-08-02,63337930.35318873,62109912.83468466,64653692.17451393
214,1993-08-03,63351182.18356472,62123511.453889795,64627627.58462401
215,1993-08-04,63364434.33437952,62142690.04072202,64696708.35137532
216,1993-08-05,63377667.92444993,62144234.57023628,64586022.14264819
217,1993-08-06,63394877.97493325,62165852.62629456,64717287.24341743
218,1993-08-07,63408068.06219593,62135867.66430674,64654477.492587544
219,1993-08-08,63421176.78945537,62238608.91787808,64637233.43478432
220,1993-08-09,63434205.90627161,62234929.8413754,64844975.73734924
221,1993-08-10,63447142.945877686,62289645.188139066,64679871.21956404
222,1993-08-11,63459980.96145596,62127866.35724825,64692214.72852555
223,1993-08-12,63472714.392545216,62120627.3833856,64701068.731518276
224,1993-08-13,63489354.36788165,62239043.808867246,64777438.508747086
225,1993-08-14,63501922.8367967,62230667.16309222,64735303.652199134
226,1993-08-15,63514378.44676123,62233913.985359065,64703523.58873043
227,1993-08-16,63526744.015062645,62314053.08121775,64659447.66541758
228,1993-08-17,63539028.4852241,62243470.2020891,64791705.279267766
229,1993-08-18,63551245.97095479,62276307.85227559,64743204.54661583
230,1993-08-19,63563410.94087669,62342667.62006049,64837252.832324825
231,1993-08-20,63579552.87207446,62329985.85984431,64818680.75130314
232,1993-08-21,63591709.78533198,62319839.43650033,64893992.9255762
233,1993-08-22,63603853.59872772,62353404.10438073,64697406.42608542
234,1993-08-23,63616017.16439522,62298812.62276127,64825209.779590935
235,1993-08-24,63628215.89308132,62402418.06903994,64852589.23177257
236,1993-08-25,63640466.58007083,62353436.83836385,64851087.68514925
