year,gce_gdp,gce_es,gedo,sgd,lg_cex,lg_df,liqratio,ltdepo,pms,cb_msme,vt_nse,kero,brent,pov_hc
01/01/1993,4.34,33.66,633.14,-6.44,5.51,0.4,42.2,42.9,1.34,17.41,0.8,2.75,18.49,60182641
01/01/1994,4.01,38.22,648.81,-6.41,4.08,0.26,48.5,60.9,5.19,14.32,0.99,6,17.05,65343470
01/01/1995,3.91,35.62,716.87,-8.25,6.13,1.97,33.1,73.3,11,15.86,1.84,6,18.26,69167728
01/01/1996,5.21,55.34,617.32,5.54,6.05,1.12,43.1,72.9,11,16.6,6.98,6,22.2,71801914
01/01/1997,6.1,62.9,595.93,4.28,8.62,1.52,40.2,76.6,11,13.12,10.33,6,20.69,73409915
01/01/1998,6.43,65,633.02,0.03,18.54,-1.54,46.8,74.4,12.17,11.53,13.57,6,13.98,74181880
01/01/1999,9.08,64.97,2577.37,1.09,18.83,0.36,61,54.6,20,10.43,14.07,17,18.63,74329989
01/01/2000,3.39,46.57,3097.38,-0.6,59.96,-1.99,64.1,51,21.17,7.58,28.15,17,30.01,74089846
01/01/2001,5.33,59.21,3176.29,-23.41,48.66,0.15,52.9,65.63,22,6.21,57.68,17,26.09,73715377
01/01/2002,2.79,67,3932.88,-54.72,45.12,2.33,52.45,62.78,26,8.68,59.41,24,26.22,73508581
01/01/2003,1.78,40.54,4478.33,-66.16,150.08,8.46,50.9,61.85,34.17,7.49,120.4,32,31.31,73785213
01/01/2004,1.94,47.75,4890.27,-11.11,165.4,7.24,50.48,68.63,40,3.62,225.82,38,41.21,74818559
01/01/2005,2.25,51.02,2695.07,-58.95,213.46,9.24,50.18,70.8,40,2.54,262.94,80,57.64,76572123
01/01/2006,1.82,47.47,451.46,-43.03,267.66,8.42,81.42,96.82,40,0.99,470.25,80,68.39,78914624
01/01/2007,2.19,47.2,438.89,-50.73,143.8,4.9,41.56,83.26,40,0.85,1076.02,80,77.54,81694164
01/01/2008,2.4,52.48,523.25,-86.77,562.57,-3,37.72,86.91,40,0.17,1679.14,80,102.76,84742428
01/01/2009,2.65,43.89,590.44,-186.24,363,1.75,26.39,84.3,57.08,0.17,685.72,80,66.13,87872617
01/01/2010,1.59,46.64,689.84,-103.7,533,2.5,27.39,52.29,65,0.14,799.91,50,82.97,90869426
01/01/2011,1.44,42.07,896.85,-131.8,352.15,4.23,42.02,44.77,65,0.16,638.93,50,116.69,93504080
01/01/2012,1.2,36.69,1026.9,-272.5,299.39,3.44,49.72,42.31,97,0.13,808.99,50,116.15,95519662
01/01/2013,1.37,45.63,1387.33,-141.42,392.95,3.14,46.23,37.56,97,0.13,2350.88,50,110.99,96623968
01/01/2014,0.87,50.24,1631.5,-310.97,181.23,0.93,38.27,63.61,97,0.12,1338.6,50,100.4,96509244
01/01/2015,0.86,42.62,2111.51,-610.14,95.9,-0.68,42.35,69.58,87.83,0.1,978.05,150,52.65,94831365
01/01/2016,0.64,42.68,3478.91,-741.54,90.8,-1.3,45.95,79.95,125.5,0.07,577.82,259.5,43.81,91223112
01/01/2017,1.08,43.64,5787.51,-710.42,144.07,-0.61,54.79,72.84,149.23,0.07,1078.49,297.02,54.09,85262914
01/01/2018,1.3,44.79,7759.2,-706.22,319.77,-0.25,65.04,60.16,154.83,0.29,1203.37,287.42,72.66,76567414
